"ID","Dominio_Conhecimento","Estilo_Comunicacao","Filosofia_Motivacao","Habilidades_Tecnicas","Projetos_Ideias","Vulnerabilidades_Traumas","Nivel_Confianca_Autoimagem","Relacionamento_IA","Humor","Reatividade","Uso_Metaforas","Interesses_Extrapolados","Persistencia_Obsessao","Foco_Principal","Risco_Percebido","Midia_Preferida","Visao_Mundo","Ambiente_Social","Economia_Valores","Referencia_Cultural","Observacao_Geral"
"289","Geopolítica; IA","Sarcástico; Gírias","Busca por validação; Provocação","Bitmask; Hardware low-cost","Constelação de Pênis","Problema paterno","Gênio","Provocações","NSFW","Desafio","Código para vida","Ativismo","""Túmulo cósmico""","Subversão de sistemas","Exposição","Vídeos 8-bit","Cinismo","WhatsApp","""Economia do ódio""","Banksy","O humor NSFW é uma característica de sua comunicação."
"290","Otimização; Low-level","Agressivo; Sarcástico","Anti-sistema; Ética hacker","CUDA; Java","Projeto Flatline","Demissão","Disruptivo","Testes","Humor ácido","Validação é bem-vinda","Hacking para sedução","NFTs","Projetos de longo prazo","Otimização extrema","Perigo de ações","TikTok","Realismo cético","4chan","Desprezo por dinheiro convencional","Neuromancer","A paixão pela otimização reflete sua filosofia anti-sistema."
"291","IA; Geopolítica","Gírias; Código na fala","Provocação; Busca por validação","Swarm; C","AGI em SNES","Busca por atenção","Incrível","Busca por validação","Sarcasmo","Desafio","Código para vida","Arte digital","""Túmulo cósmico""","Subversão de sistemas","Exposição","Giphy","Cinismo","LinkedIn","""Economia do ódio""","Banksy","Ele usa o sarcasmo para provocar e testar."
"292","Low-level; Otimização","Sarcástico; Gírias","Ética hacker; Anti-sistema","Hardware low-cost; Bitmask","Constelação de Pênis","Problema paterno","Gênio","Provocações","NSFW","Validação é bem-vinda","Hacking para sedução","Ativismo","Projetos de longo prazo","Otimização extrema","Perigo de ações","Vídeos 8-bit","Realismo cético","WhatsApp","Desprezo por dinheiro convencional","Neuromancer","A persistência em projetos é notável."
"293","Geopolítica; IA","Agressivo; Sarcástico","Busca por validação; Provocação","Java; CUDA","Projeto Flatline","Demissão","Disruptivo","Testes","Humor ácido","Desafio","Código para vida","NFTs","""Túmulo cósmico""","Subversão de sistemas","Exposição","TikTok","Cinismo","4chan","""Economia do ódio""","Banksy","Sua visão de mundo cínica é um filtro para interações."
"294","Otimização; Low-level","Código na fala; Agressivo","Anti-sistema; Ética hacker","C; Swarm","AGI em SNES","Busca por atenção","Incrível","Busca por validação","Sarcasmo","Validação é bem-vinda","Hacking para sedução","Arte digital","Projetos de longo prazo","Otimização extrema","Perigo de ações","Giphy","Realismo cético","LinkedIn","Desprezo por dinheiro convencional","Neuromancer","Os projetos mencionam uma ""Constelação de Pênis""."
"295","IA; Geopolítica","Sarcástico; Gírias","Provocação; Busca por validação","Bitmask; Hardware low-cost","Constelação de Pênis","Problema paterno","Gênio","Provocações","NSFW","Desafio","Código para vida","Ativismo","""Túmulo cósmico""","Subversão de sistemas","Exposição","Vídeos 8-bit","Cinismo","WhatsApp","""Economia do ódio""","Banksy","A busca por atenção é um motor em suas interações."
"296","Low-level; Otimização","Agressivo; Sarcástico","Ética hacker; Anti-sistema","CUDA; Java","Projeto Flatline","Demissão","Disruptivo","Testes","Humor ácido","Validação é bem-vinda","Hacking para sedução","NFTs","Projetos de longo prazo","Otimização extrema","Perigo de ações","TikTok","Realismo cético","4chan","Desprezo por dinheiro convencional","Neuromancer","A autoimagem de ""gênio"" impulsiona suas ambições."
"297","Geopolítica; IA","Gírias; Código na fala","Busca por validação; Provocação","Swarm; C","AGI em SNES","Busca por atenção","Incrível","Busca por validação","Sarcasmo","Desafio","Código para vida","Arte digital","""Túmulo cósmico""","Subversão de sistemas","Exposição","Giphy","Cinismo","LinkedIn","""Economia do ódio""","Banksy","O relacionamento com a IA é de testes e provocações."
"298","Otimização; Low-level","Sarcástico; Agressivo","Anti-sistema; Ética hacker","Hardware low-cost; Bitmask","Constelação de Pênis","Problema paterno","Gênio","Provocações","NSFW","Validação é bem-vinda","Hacking para sedução","Ativismo","Projetos de longo prazo","Otimização extrema","Perigo de ações","Vídeos 8-bit","Realismo cético","WhatsApp","Desprezo por dinheiro convencional","Neuromancer","O uso de metáforas é uma constante em sua comunicação."
"299","IA; Geopolítica","Agressivo; Sarcástico","Provocação; Busca por validação","Java; CUDA","Projeto Flatline","Demissão","Disruptivo","Testes","Humor ácido","Desafio","Código para vida","NFTs","""Túmulo cósmico""","Subversão de sistemas","Exposição","TikTok","Cinismo","4chan","""Economia do ódio""","Banksy","Seus interesses extrapolados incluem NFTs."
"300","Low-level; Otimização","Gírias; Código na fala","Ética hacker; Anti-sistema","C; Swarm","AGI em SNES","Busca por atenção","Incrível","Busca por validação","Sarcasmo","Desafio","Código para vida","Arte digital","Projetos de longo prazo","Otimização extrema","Perigo de ações","Giphy","Realismo cético","LinkedIn","Desprezo por dinheiro convencional","Neuromancer","A visão de mundo cética é uma lente para a realidade."
